"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",2.41256386573081,-0.480930332480728,0.300054735019574,-1.60280867572163,0.108976900836647,0.155751423917457
"A1BG-AS1",6.5730108473691,0.0777088720242329,0.269990252841031,0.287821027635348,0.773483740433716,0.817486744461287
"A1CF",3.88133072461176,0.264565443830105,0.31546936909212,0.83864067244148,0.401670979716989,0.478379548437935
"A2M",25031.9790820269,-0.520640144206311,0.110409911832657,-4.71551997066548,2.41094243096836e-06,8.93193269741591e-06
"A2M-AS1",70.2409172581008,-0.833704587242354,0.119101496981335,-6.99995053272092,2.56052898378629e-12,1.99284263788764e-11
"A2ML1",7.26611996705841,0.3979148597841,0.276333369374006,1.43998121068592,0.149872715012002,0.205418665367723
"A2MP1",29.3931492749755,-0.603441973595875,0.170386206706179,-3.54161281750039,0.000397688752156728,0.00100693536223183
"A4GALT",27.882343746356,-0.485188490666351,0.14071678724128,-3.44797873927027,0.000564798493785439,0.00139036849187094
"A4GNT",3.04676481079199,-1.10817631930711,0.345518977549278,-3.20728061644329,0.00133996218897881,0.00306154191698259
"AAAS",81.5850736245542,-0.0945954291267871,0.111045741195902,-0.851860036306172,0.394291779939728,0.470955591950927
"AACS",97.3757586535649,0.04222724934779,0.102827802920693,0.410659842458738,0.681321976820402,0.738617606993547
"AADAC",77.0878138428213,0.156586074055272,0.247024539715651,0.633888739294961,0.526153434974243,0.598686711624104
"AADACL2",31.0574075260208,-0.0880080428738202,0.308341330524674,-0.285424087403611,0.775319255629828,0.819011466025269
"AADACL2-AS1",4.3603279557802,-0.502979211492824,0.364442371361585,-1.38013373585968,0.167545471816669,0.226314719324353
"AADACP1",16.5171168353024,-0.434821869319033,0.279547043985729,-1.55545150154129,0.119838576526128,0.169319806541078
"AADAT",103.663440901329,-0.0160163685095832,0.117059896235689,-0.136821994761859,0.891171497833926,0.913999155156194
"AAGAB",232.990494503352,0.360884243824844,0.0650606504636839,5.54688957538606,2.90796265044308e-08,1.40555287939489e-07
"AAK1",1164.87631103551,-0.262983913238111,0.0518617424203224,-5.07086536172874,3.96010868398791e-07,1.65729469530931e-06
"AAMDC",140.561030831573,-0.215690251091277,0.0831002584988696,-2.59554248070373,0.00944417276146719,0.0178834507374412
"AAMP",211.123436979393,0.39767339374837,0.0860142675173945,4.62334221084832,3.77606000209376e-06,1.35891599532809e-05
"AAR2",166.804205168322,0.126067834476176,0.0774604872632721,1.62751150851528,0.103628506386273,0.149115100694658
"AARD",46.1621747459413,0.390737192319787,0.227271862891167,1.71925018499495,0.0855688263387074,0.126080965545311
"AARS1",521.175142469132,0.455396071276169,0.0735011746006977,6.19576590102338,5.8002281555029e-10,3.45833419706859e-09
"AARS2",82.4275209331546,-0.0775658456588705,0.109236575876424,-0.710072107593506,0.477659421922664,0.551855272275943
"AARSD1",11.7051449819914,-0.632980346309902,0.209895438302434,-3.01569367790573,0.00256392136134174,0.00552296175748174
